"","i","s","a"
"1",0,"C_999",1
"2",1,"C_999",0.963488286607563
"3",2,"C_999",0.963096904336195
"4",3,"C_999",0.949547954142977
"5",4,"C_999",0.933338625682713
"6",5,"C_999",0.950819866873102
"7",6,"C_999",0.961789491787772
"8",7,"C_999",0.957966065089157
"9",8,"C_999",0.948284853676036
"10",9,"C_999",0.937750660007292
"11",10,"C_999",0.94710687542546
"12",11,"C_999",0.946222975935027
"13",12,"C_999",0.914505723204995
"14",13,"C_999",0.918435481244232
"15",14,"C_999",0.920766716721138
"16",15,"C_999",0.861652100107815
"17",16,"C_999",0.819504578039605
"18",17,"C_999",0.882930042293559
"19",18,"C_999",0.868217054263566
"20",19,"C_999",0.659807750075098
"21",20,"C_999",0.956033676333021
"22",21,"C_999",1
"23",22,"C_999",1
"24",23,"C_999",1
"25",24,"C_999",1
"26",25,"C_999",1
"27",26,"C_999",0.97
