t,breach,not_breach,tot
1,0.0,1752719.7819768232,1752719.7819768232
2,0.0,1950037.39751017,1950037.39751017
3,0.0,2138509.072652561,2138509.072652561
4,0.0,2317447.327356188,2317447.327356188
5,0.0,2486218.3900714475,2486218.3900714475
6,17725.202944720266,2626669.0509640127,2644394.253908733
7,43102.92864268027,2748855.444486578,2791958.3731292584
8,73226.62522552162,2855822.237001396,2929048.8622269174
9,106250.81247645986,2949589.18867961,3055840.00115607
10,140683.2933438435,3031756.660052346,3172439.9533961895
11,175313.8328542649,3103684.1911485614,3278998.0240028263
12,209257.5444717785,3166450.0678867903,3375707.6123585687
13,241812.3203248959,3220957.9977002293,3462770.318025125
14,272422.727529836,3267959.18265507,3540381.910184906
15,300709.59213670646,3308049.6618218934,3608759.2539585996
16,326419.0443556762,3341700.224765502,3668119.269121178
17,349382.2097917057,3369296.817753976,3718679.027545682
18,369506.0679263907,3391148.04016977,3760654.1080961605
19,386735.98532437626,3407521.3369584605,3794257.322282837
20,401043.8535035339,3418653.8553049145,3819697.708808448
21,412426.90343490714,3424752.797860014,3837179.701294921
22,420904.602848089,3425997.726003997,3846902.328852086
23,426518.32561896165,3422540.222234941,3849058.547853903
24,429329.3976834639,3414505.302026633,3843834.699710097
25,429416.66070505755,3401993.3867841302,3831410.0474891877
26,426874.39849772863,3385081.9806663212,3811956.37916405
27,421810.6280632161,3363827.0124473963,3785637.640510612
28,414345.65637018793,3338263.926190651,3752609.582560839
29,404610.910410745,3308408.5116764987,3713019.4220872438
30,392748.0326885355,3274257.4717721576,3667005.5044606933
31,378908.22161012393,3235788.7280174857,3614696.9496276095
32,363251.81483552104,3192961.454960062,3556213.269795583
33,345948.09929080534,3145715.841393779,3491663.9406845844
34,327175.3166482835,3093972.589007728,3421147.9056560113
35,307120.8387112814,3037632.1502742693,3344752.9889855506
36,285981.48601891776,2976573.703594437,3262555.1896133544
37,263963.96623239643,2910653.853490438,3174617.819722834
38,241285.4104379249,2839705.032338745,3080990.4427766697
39,218173.97867330367,2763533.57345307,2981707.5521263736
40,194869.49203291387,2681917.4204012174,2876786.9124341314
41,171624.02514911312,2594603.4342393987,2766227.4593885117
42,148702.35546739493,2501304.259167675,2650006.61463507
43,126382.10712979546,2401694.709112464,2528076.8162422595
44,104953.33502710331,2295407.64510811,2400360.980135213
